time,state
2016-03-02 13:38:58,0
2016-03-02 13:39:58,0
2016-03-02 13:40:58,0
2016-03-02 13:41:58,0
2016-03-02 13:42:58,0
2016-03-02 13:43:58,0
2016-03-02 13:44:58,0
2016-03-02 13:45:58,0
2016-03-02 13:46:58,0
2016-03-02 13:47:58,0
2016-03-02 13:48:59,0
2016-03-02 13:49:59,0
2016-03-02 13:50:59,0
2016-03-02 13:51:59,0
2016-03-02 13:52:59,0
2016-03-02 13:53:59,0
2016-03-02 13:54:59,0
2016-03-02 13:55:59,1
2016-03-02 13:56:59,1
2016-03-02 13:58:00,0
2016-03-02 13:59:00,0
2016-03-02 14:00:00,1
2016-03-02 14:01:00,0
2016-03-02 14:02:00,0
2016-03-02 14:03:00,0
2016-03-02 14:04:00,1
2016-03-02 14:05:00,0
2016-03-02 14:06:00,0
2016-03-02 14:07:01,0
2016-03-02 14:08:01,0
2016-03-02 14:09:01,0
2016-03-02 14:10:01,1
2016-03-02 14:11:01,1
2016-03-02 14:12:01,0
2016-03-02 14:13:01,1
2016-03-02 14:14:01,1
2016-03-02 14:15:01,0
2016-03-02 14:16:01,0
2016-03-02 14:17:01,1
2016-03-02 14:18:01,1
2016-03-02 14:19:01,1
2016-03-02 14:20:02,1
2016-03-02 14:21:02,0
2016-03-02 14:22:02,1
2016-03-02 14:23:02,1
2016-03-02 14:24:02,1
2016-03-02 14:25:02,0
2016-03-02 14:26:02,1
2016-03-02 14:27:02,0
2016-03-02 14:28:02,0
2016-03-02 14:29:02,0
2016-03-02 14:30:02,0
2016-03-02 14:31:02,1
2016-03-02 14:32:03,1
2016-03-02 14:33:03,1
2016-03-02 14:34:03,1
2016-03-02 14:35:03,1
2016-03-02 14:36:03,1
2016-03-02 14:37:03,1
2016-03-02 14:38:03,1
2016-03-02 14:39:03,1
2016-03-02 14:40:03,1
2016-03-02 14:41:03,0
2016-03-02 14:42:03,0
2016-03-02 14:43:03,0
2016-03-02 14:44:04,1
2016-03-02 14:45:04,1
2016-03-02 14:46:04,1
2016-03-02 14:47:04,0
2016-03-02 14:48:04,0
2016-03-02 14:49:04,1
2016-03-02 14:50:04,1
2016-03-02 14:51:04,1
2016-03-02 14:52:04,1
2016-03-02 14:53:04,1
2016-03-02 14:54:04,1
2016-03-02 14:55:04,1
2016-03-02 14:56:05,1
2016-03-02 14:57:05,1
2016-03-02 14:58:05,1
2016-03-02 14:59:05,1
2016-03-02 15:00:05,1
2016-03-02 15:01:05,1
2016-03-02 15:02:05,1
2016-03-02 15:03:05,1
2016-03-02 15:04:06,0
2016-03-02 15:05:06,1
2016-03-02 15:06:06,1
2016-03-02 15:07:06,0
2016-03-02 15:08:06,1
2016-03-02 15:09:06,0
2016-03-02 15:10:06,0
2016-03-02 15:11:06,1
2016-03-02 15:12:06,0
2016-03-02 15:13:06,0
2016-03-02 15:14:06,0
2016-03-02 15:15:07,1
2016-03-02 15:16:07,1
2016-03-02 15:17:07,1
2016-03-02 15:18:07,1
2016-03-02 15:19:07,1
2016-03-02 15:20:07,1
2016-03-02 15:21:07,0
2016-03-02 15:22:07,0
2016-03-02 15:23:07,0
2016-03-02 15:24:07,1
2016-03-02 15:25:07,1
2016-03-02 15:26:07,1
2016-03-02 15:27:08,1
2016-03-02 15:28:08,1
2016-03-02 15:29:08,1
2016-03-02 15:30:08,1
2016-03-02 15:31:08,1
2016-03-02 15:32:08,0
2016-03-02 15:33:08,1
2016-03-02 15:34:08,1
2016-03-02 15:35:08,1
2016-03-02 15:36:08,1
2016-03-02 15:37:08,1
2016-03-02 15:38:09,1
2016-03-02 15:39:09,1
2016-03-02 15:40:09,0
2016-03-02 15:41:09,1
2016-03-02 15:42:09,1
2016-03-02 15:43:09,1
2016-03-02 15:44:09,1
2016-03-02 15:45:09,1
2016-03-02 15:46:09,1
2016-03-02 15:47:09,1
2016-03-02 15:48:10,0
2016-03-02 15:49:10,1
2016-03-02 15:50:10,1
2016-03-02 15:51:10,1
2016-03-02 15:52:10,0
2016-03-02 15:53:10,1
2016-03-02 15:54:10,0
2016-03-02 15:55:11,1
2016-03-02 15:56:11,1
2016-03-02 15:57:11,1
2016-03-02 15:58:11,1
2016-03-02 15:59:11,0
2016-03-02 16:00:11,0
2016-03-02 16:01:11,0
2016-03-02 16:02:11,0
2016-03-02 16:03:11,0
2016-03-02 16:04:12,0
2016-03-02 16:05:12,1
2016-03-02 16:06:12,0
2016-03-02 16:07:12,0
2016-03-02 16:08:12,1
2016-03-02 16:09:12,1
2016-03-02 16:10:12,1
2016-03-02 16:11:12,1
2016-03-02 16:12:13,1
2016-03-02 16:13:13,1
2016-03-02 16:14:13,1
2016-03-02 16:15:13,1
2016-03-02 16:16:13,1
2016-03-02 16:17:13,0
2016-03-02 16:18:13,1
2016-03-02 16:19:13,1
2016-03-02 16:20:13,1
2016-03-02 16:21:13,1
2016-03-02 16:22:14,1
2016-03-02 16:23:14,1
2016-03-02 16:24:14,1
2016-03-02 16:25:14,1
2016-03-02 16:26:14,1
2016-03-02 16:27:14,1
2016-03-02 16:28:14,1
2016-03-02 16:29:15,0
2016-03-02 16:30:15,1
2016-03-02 16:31:15,1
2016-03-02 16:32:15,1
2016-03-02 16:33:15,1
2016-03-02 16:34:15,1
2016-03-02 16:35:15,1
2016-03-02 16:36:15,1
2016-03-02 16:37:16,1
2016-03-02 16:38:16,1
2016-03-02 16:39:16,1
2016-03-02 16:40:16,1
2016-03-02 16:41:16,1
2016-03-02 16:42:16,1
2016-03-02 16:43:16,1
2016-03-02 16:44:16,1
2016-03-02 16:45:16,1
2016-03-02 16:46:16,1
2016-03-02 16:47:17,1
2016-03-02 16:48:17,1
2016-03-02 16:49:17,1
2016-03-02 16:50:17,1
2016-03-02 16:51:17,1
2016-03-02 16:52:17,1
2016-03-02 16:53:17,0
2016-03-02 16:54:17,0
2016-03-02 16:55:17,0
2016-03-02 16:56:17,0
2016-03-02 16:57:18,0
2016-03-02 16:58:18,0
2016-03-02 16:59:18,0
2016-03-02 17:00:18,0
2016-03-02 17:01:18,0
2016-03-02 17:02:18,0
2016-03-02 17:03:18,0
2016-03-02 17:04:18,0
2016-03-02 17:05:18,0
2016-03-02 17:06:18,0
2016-03-02 17:07:19,0
2016-03-02 17:08:19,0
2016-03-02 17:09:19,0
2016-03-02 17:10:19,0
