time,state
2016-03-06 00:00:16,0
2016-03-06 00:00:53,0
2016-03-06 00:01:16,0
2016-03-06 00:01:53,0
2016-03-06 00:02:16,0
2016-03-06 00:02:53,0
2016-03-06 00:03:16,0
2016-03-06 00:03:53,0
2016-03-06 00:04:16,0
2016-03-06 00:04:53,0
2016-03-06 00:05:16,0
2016-03-06 00:05:53,0
2016-03-06 00:06:17,0
2016-03-06 00:06:54,0
2016-03-06 00:07:17,0
2016-03-06 00:07:54,0
2016-03-06 00:08:17,0
2016-03-06 00:08:54,0
2016-03-06 00:09:17,0
2016-03-06 00:09:54,0
2016-03-06 00:10:17,0
2016-03-06 00:10:54,0
2016-03-06 00:11:17,0
2016-03-06 00:11:54,0
2016-03-06 00:12:17,0
2016-03-06 00:12:54,0
2016-03-06 00:13:17,0
2016-03-06 00:13:54,0
2016-03-06 00:14:17,0
2016-03-06 00:14:54,0
2016-03-06 00:15:17,0
2016-03-06 00:15:54,0
2016-03-06 00:16:17,0
2016-03-06 00:16:54,0
2016-03-06 00:17:17,0
2016-03-06 00:17:54,0
2016-03-06 00:18:17,0
2016-03-06 00:18:54,0
2016-03-06 00:19:18,0
2016-03-06 00:19:55,0
2016-03-06 00:20:18,0
2016-03-06 00:20:55,0
2016-03-06 00:21:18,0
2016-03-06 00:21:55,0
2016-03-06 00:22:18,0
2016-03-06 00:22:55,0
2016-03-06 00:23:18,0
2016-03-06 00:23:55,0
2016-03-06 00:24:18,0
2016-03-06 00:24:55,0
2016-03-06 00:25:18,0
2016-03-06 00:25:55,0
2016-03-06 00:26:18,0
2016-03-06 00:26:55,0
2016-03-06 00:27:18,0
2016-03-06 00:27:55,0
2016-03-06 00:28:18,0
2016-03-06 00:28:55,0
2016-03-06 00:29:18,0
2016-03-06 00:29:55,0
2016-03-06 00:30:18,0
2016-03-06 00:30:55,0
2016-03-06 00:31:19,0
2016-03-06 00:31:56,0
2016-03-06 00:32:19,0
2016-03-06 00:32:56,0
2016-03-06 00:33:19,0
2016-03-06 00:33:56,0
2016-03-06 00:34:19,0
2016-03-06 00:34:56,0
2016-03-06 00:35:19,0
2016-03-06 00:35:56,0
2016-03-06 00:36:19,0
2016-03-06 00:36:56,0
2016-03-06 00:37:19,0
2016-03-06 00:37:56,0
2016-03-06 00:38:19,0
