time,state
2016-03-03 11:27:33,0
2016-03-03 11:28:19,1
2016-03-03 11:28:33,1
2016-03-03 11:29:19,1
2016-03-03 11:29:33,0
2016-03-03 11:30:19,1
2016-03-03 11:30:33,1
2016-03-03 11:31:19,0
2016-03-03 11:31:33,0
2016-03-03 11:32:19,1
2016-03-03 11:32:33,1
2016-03-03 11:33:20,1
2016-03-03 11:33:34,1
2016-03-03 11:34:20,1
2016-03-03 11:34:34,1
2016-03-03 11:35:20,1
2016-03-03 11:35:34,1
2016-03-03 11:36:20,1
2016-03-03 11:36:34,1
2016-03-03 11:37:20,1
2016-03-03 11:37:34,1
2016-03-03 11:38:20,1
2016-03-03 11:38:34,1
2016-03-03 11:39:20,1
2016-03-03 11:39:34,0
2016-03-03 11:40:20,1
2016-03-03 11:40:34,1
2016-03-03 11:41:20,1
2016-03-03 11:41:34,1
2016-03-03 11:42:20,1
2016-03-03 11:42:34,1
2016-03-03 11:43:20,1
2016-03-03 11:43:35,1
2016-03-03 11:44:20,1
2016-03-03 11:44:35,1
2016-03-03 11:45:21,1
2016-03-03 11:45:35,1
2016-03-03 11:46:21,1
2016-03-03 11:46:35,1
2016-03-03 11:47:21,1
2016-03-03 11:47:35,0
2016-03-03 11:48:21,0
2016-03-03 11:48:35,0
2016-03-03 11:49:21,0
2016-03-03 11:49:35,0
2016-03-03 11:50:21,0
2016-03-03 11:50:35,0
2016-03-03 11:51:21,0
2016-03-03 11:51:35,0
2016-03-03 11:52:21,0
2016-03-03 11:52:36,0
2016-03-03 11:53:21,0
2016-03-03 11:53:36,0
2016-03-03 11:54:21,0
2016-03-03 11:54:36,0
2016-03-03 11:55:21,0
2016-03-03 11:55:36,0
2016-03-03 11:56:21,0
2016-03-03 11:56:36,0
2016-03-03 11:57:22,0
2016-03-03 11:57:36,0
2016-03-03 11:58:22,0
2016-03-03 11:58:36,0
2016-03-03 11:59:22,0
2016-03-03 11:59:36,0
2016-03-03 12:00:22,0
2016-03-03 12:00:36,0
2016-03-03 12:01:22,0
2016-03-03 12:01:36,0
2016-03-03 12:02:22,0
2016-03-03 12:02:36,0
2016-03-03 12:03:22,0
2016-03-03 12:03:37,0
2016-03-03 12:04:22,0
2016-03-03 12:04:37,0
2016-03-03 12:05:22,0
2016-03-03 12:05:37,0
2016-03-03 12:06:22,0
2016-03-03 12:06:37,0
2016-03-03 12:07:22,0
2016-03-03 12:07:37,0
2016-03-03 12:08:22,0
