time,state
2016-02-28 18:46:38,1
2016-02-28 18:47:38,1
2016-02-28 18:48:38,0
2016-02-28 18:49:38,0
2016-02-28 18:50:38,0
2016-02-28 18:51:38,1
2016-02-28 18:52:38,1
2016-02-28 18:53:38,0
2016-02-28 18:54:38,0
2016-02-28 18:55:39,0
2016-02-28 18:56:39,0
2016-02-28 18:57:39,0
2016-02-28 18:58:39,0
2016-02-28 18:59:39,0
2016-02-28 19:00:39,0
2016-02-28 19:01:39,0
2016-02-28 19:02:39,0
2016-02-28 19:03:39,0
2016-02-28 19:04:39,1
2016-02-28 19:05:39,0
2016-02-28 19:06:40,0
2016-02-28 19:07:40,0
2016-02-28 19:08:40,0
2016-02-28 19:09:40,0
2016-02-28 19:10:40,0
2016-02-28 19:11:40,0
2016-02-28 19:12:40,0
2016-02-28 19:13:40,0
2016-02-28 19:14:40,0
2016-02-28 19:15:41,1
2016-02-28 19:16:41,1
2016-02-28 19:17:41,1
2016-02-28 19:18:41,1
2016-02-28 19:19:41,1
2016-02-28 19:20:41,1
2016-02-28 19:21:41,1
2016-02-28 19:22:41,1
2016-02-28 19:23:42,1
2016-02-28 19:24:42,1
2016-02-28 19:25:42,1
2016-02-28 19:26:42,1
2016-02-28 19:27:42,1
2016-02-28 19:28:42,1
2016-02-28 19:29:42,1
2016-02-28 19:30:42,1
2016-02-28 19:31:43,1
2016-02-28 19:32:43,1
2016-02-28 19:33:43,1
2016-02-28 19:34:43,1
2016-02-28 19:35:43,1
2016-02-28 19:36:43,1
2016-02-28 19:37:43,1
2016-02-28 19:38:43,1
2016-02-28 19:39:43,1
2016-02-28 19:40:43,1
2016-02-28 19:41:44,1
2016-02-28 19:42:44,0
2016-02-28 19:43:44,1
2016-02-28 19:44:44,1
2016-02-28 19:45:44,0
2016-02-28 19:46:44,1
2016-02-28 19:47:44,1
2016-02-28 19:48:44,1
2016-02-28 19:49:44,1
2016-02-28 19:50:44,1
2016-02-28 19:51:44,0
2016-02-28 19:52:44,0
2016-02-28 19:53:44,1
2016-02-28 19:54:45,1
2016-02-28 19:55:45,1
2016-02-28 19:56:45,1
2016-02-28 19:57:45,1
2016-02-28 19:58:45,1
2016-02-28 19:59:45,1
2016-02-28 20:00:45,1
2016-02-28 20:01:45,1
2016-02-28 20:02:45,1
2016-02-28 20:03:45,1
2016-02-28 20:04:45,1
2016-02-28 20:05:46,1
2016-02-28 20:06:46,1
2016-02-28 20:07:46,1
2016-02-28 20:08:46,1
2016-02-28 20:09:46,1
2016-02-28 20:10:46,1
2016-02-28 20:11:46,1
2016-02-28 20:12:46,1
2016-02-28 20:13:46,1
2016-02-28 20:14:46,1
2016-02-28 20:15:46,1
2016-02-28 20:16:46,1
2016-02-28 20:17:47,1
2016-02-28 20:18:47,1
2016-02-28 20:19:47,1
2016-02-28 20:20:47,1
2016-02-28 20:21:47,1
2016-02-28 20:22:47,1
2016-02-28 20:23:47,1
2016-02-28 20:24:47,1
2016-02-28 20:25:47,1
2016-02-28 20:26:47,1
2016-02-28 20:27:47,1
2016-02-28 20:28:48,1
2016-02-28 20:29:48,1
2016-02-28 20:30:48,1
2016-02-28 20:31:48,1
2016-02-28 20:32:48,1
2016-02-28 20:33:48,1
2016-02-28 20:34:48,1
2016-02-28 20:35:48,1
2016-02-28 20:36:48,1
2016-02-28 20:37:48,1
2016-02-28 20:38:48,1
2016-02-28 20:39:48,1
2016-02-28 20:40:49,1
2016-02-28 20:41:49,1
2016-02-28 20:42:49,1
2016-02-28 20:43:49,1
2016-02-28 20:44:49,1
2016-02-28 20:45:49,1
2016-02-28 20:46:49,1
2016-02-28 20:47:49,1
2016-02-28 20:48:49,1
2016-02-28 20:49:49,1
2016-02-28 20:50:49,1
2016-02-28 20:51:49,1
2016-02-28 20:52:49,0
2016-02-28 20:53:50,1
2016-02-28 20:54:50,1
2016-02-28 20:55:50,1
2016-02-28 20:56:50,1
2016-02-28 20:57:50,1
2016-02-28 20:58:50,1
2016-02-28 20:59:50,1
2016-02-28 21:00:50,1
2016-02-28 21:01:50,1
2016-02-28 21:02:50,1
2016-02-28 21:03:50,1
2016-02-28 21:04:50,1
