time,state
2016-02-28 12:52:06,1
2016-02-28 12:53:06,1
2016-02-28 12:54:06,1
2016-02-28 12:55:07,1
2016-02-28 12:56:07,1
2016-02-28 12:57:07,1
2016-02-28 12:58:07,1
2016-02-28 12:59:07,1
2016-02-28 13:00:07,1
2016-02-28 13:01:07,1
2016-02-28 13:02:07,1
2016-02-28 13:03:07,1
2016-02-28 13:04:07,1
2016-02-28 13:05:07,1
2016-02-28 13:06:07,1
2016-02-28 13:07:08,1
2016-02-28 13:08:08,1
2016-02-28 13:09:08,1
2016-02-28 13:10:08,1
2016-02-28 13:11:08,1
2016-02-28 13:12:08,1
2016-02-28 13:13:08,1
2016-02-28 13:14:08,1
2016-02-28 13:15:08,1
2016-02-28 13:16:08,1
2016-02-28 13:17:08,1
2016-02-28 13:18:08,1
2016-02-28 13:19:09,1
2016-02-28 13:20:09,1
2016-02-28 13:21:09,1
2016-02-28 13:22:09,1
2016-02-28 13:23:09,1
2016-02-28 13:24:09,1
2016-02-28 13:25:09,1
2016-02-28 13:26:09,1
2016-02-28 13:27:09,1
2016-02-28 13:28:09,1
2016-02-28 13:29:09,1
2016-02-28 13:30:09,1
2016-02-28 13:31:09,1
2016-02-28 13:32:10,1
2016-02-28 13:33:10,1
2016-02-28 13:34:10,1
2016-02-28 13:35:10,1
2016-02-28 13:36:10,1
2016-02-28 13:37:10,1
2016-02-28 13:38:10,1
2016-02-28 13:39:10,1
2016-02-28 13:40:10,1
2016-02-28 13:41:10,1
2016-02-28 13:42:10,1
2016-02-28 13:43:10,1
2016-02-28 13:44:11,1
2016-02-28 13:45:11,1
2016-02-28 13:46:11,1
2016-02-28 13:47:11,1
2016-02-28 13:48:11,1
2016-02-28 13:49:11,1
2016-02-28 13:50:11,1
2016-02-28 13:51:11,1
2016-02-28 13:52:11,1
2016-02-28 13:53:11,1
2016-02-28 13:54:11,1
2016-02-28 13:55:11,1
2016-02-28 13:56:12,1
2016-02-28 13:57:12,1
2016-02-28 13:58:12,1
2016-02-28 13:59:12,1
2016-02-28 14:00:12,1
2016-02-28 14:01:12,1
2016-02-28 14:02:12,1
2016-02-28 14:03:12,1
2016-02-28 14:04:12,1
2016-02-28 14:05:12,1
2016-02-28 14:06:12,1
2016-02-28 14:07:12,1
2016-02-28 14:08:12,1
2016-02-28 14:09:13,1
2016-02-28 14:10:13,1
2016-02-28 14:11:13,1
2016-02-28 14:12:13,1
2016-02-28 14:13:13,1
2016-02-28 14:14:13,1
2016-02-28 14:15:13,1
2016-02-28 14:16:13,1
2016-02-28 14:17:13,1
2016-02-28 14:18:13,1
2016-02-28 14:19:13,1
2016-02-28 14:20:13,1
2016-02-28 14:21:14,1
2016-02-28 14:22:14,1
2016-02-28 14:23:14,1
2016-02-28 14:24:14,1
2016-02-28 14:25:14,1
2016-02-28 14:26:14,1
2016-02-28 14:27:14,1
2016-02-28 14:28:14,1
2016-02-28 14:29:14,1
2016-02-28 14:30:14,1
2016-02-28 14:31:14,1
2016-02-28 14:32:14,1
2016-02-28 14:33:14,1
2016-02-28 14:34:15,1
2016-02-28 14:35:15,1
2016-02-28 14:36:15,1
2016-02-28 14:37:15,1
2016-02-28 14:38:15,1
2016-02-28 14:39:15,1
2016-02-28 14:40:15,1
2016-02-28 14:41:15,1
2016-02-28 14:42:15,1
2016-02-28 14:43:15,1
2016-02-28 14:44:15,1
2016-02-28 14:45:15,1
2016-02-28 14:46:16,1
2016-02-28 14:47:16,1
2016-02-28 14:48:16,1
2016-02-28 14:49:16,1
2016-02-28 14:50:16,1
2016-02-28 14:51:16,1
2016-02-28 14:52:16,1
2016-02-28 14:53:16,1
2016-02-28 14:54:16,1
2016-02-28 14:55:16,1
2016-02-28 14:56:16,1
2016-02-28 14:57:16,1
